,country_code,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized
103,SLV,4052.624775,6809.999943,1.060625402,6420740,El Salvador,El Salvador,El Salvador
104,GNQ,10005.61604,6429.999828,4.912274137,1308966,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
105,ERI,,850.0000238,0.246177237,,Eritrea,Eritrea,Eritrea
106,EST,23063.56382,15319.99969,11.58870366,1321977,Estonia,Estonia,Estonia
107,SWZ,4107.094431,910.0000262,0.800863195,1136274,Eswatini,Eswatini,Eswatini
108,ETH,771.5248663,17239.99977,0.157840173,109224410,Ethiopia,Ethiopia,Ethiopia
109,FRO,65572.60753,,,48497,Faroe Islands,Faroe Islands,Faroe Islands
110,FJI,6317.413723,1629.999995,1.844955795,883490,Fiji,Fiji,Fiji
111,FIN,49988.91085,44580.00183,8.082639791,5515525,Finland,Finland,Finland
112,FRA,41592.7959,307049.9878,4.575874163,67101930,France,France,France
113,PYF,22094.75746,,,277673,French Polynesia,French Polynesia,French Polynesia
114,GAB,7959.007267,5119.999886,2.415920485,2119275,Gabon,Gabon,Gabon
115,GMB,732.7207273,550.0000119,0.241218342,2280092,"Gambia, The","Gambia, The",Gambia
116,GEO,4722.042423,9569.999695,2.568059536,3726549,Georgia,Georgia,Georgia
117,DEU,47973.60762,707700.0122,8.536196091,82905782,Germany,Germany,Germany
118,GHA,2260.860567,18680.00031,0.627538298,29767108,Ghana,Ghana,Ghana
119,GIB,,,,33715,Gibraltar,Gibraltar,Gibraltar
120,GRC,19756.99046,65019.99664,6.0580184,10732882,Greece,Greece,Greece
121,GRL,54545.29998,,,56023,Greenland,Greenland,Grenada
122,GRD,10466.88221,319.9999928,2.871268408,111449,Grenada,Grenada,Guadeloupe
123,GUM,36556.67491,,,165770,Guam,Guam,Guam
124,GTM,4478.424646,18319.99969,1.120698338,16346950,Guatemala,Guatemala,Guatemala
125,GIN,955.1112811,3750,0.302071193,12414292,Guinea,Guinea,Guinea
126,GNB,802.7673851,319.9999928,0.170730038,1874304,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
127,GUY,6145.819277,2589.999914,3.324745367,779007,Guyana,Guyana,Guyana
128,HTI,1479.345827,3289.999962,0.295778642,11123183,Haiti,Haiti,Haiti
129,HND,2510.322943,10050.00019,1.048237401,9587523,Honduras,Honduras,Honduras
130,HKG,48537.56689,,,7452600,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong
131,HUN,16427.37276,46400.00153,4.746529359,9775564,Hungary,Hungary,Hungary
132,ISL,74469.80406,1700.000048,4.819673475,352721,Iceland,Iceland,Iceland
133,IND,1998.259076,2451929.932,1.8126965,1352642283,India,India,India
134,IDN,3893.859578,576989.9902,2.15559759,267670549,Indonesia,Indonesia,Indonesia
135,IRN,4046.341864,637429.9927,7.792523264,81800204,"Iran, Islamic Rep.","Iran, Islamic Rep.",Iran
136,IRQ,5915.850854,163149.9939,4.244982955,38433604,Iraq,Iraq,Iraq
137,IRL,79107.60499,37659.99985,7.737323783,4867316,Ireland,Ireland,Ireland
138,IMN,89112.66772,,,84073,Isle of Man,Isle of Man,Isle of Man
139,ISR,42063.45313,61080.00183,6.87621041,8882800,Israel,Israel,Israel
140,ITA,34622.16967,324880.0049,5.37687093,60421760,Italy,Italy,Italy
141,JAM,5359.993789,8609.999657,2.933707295,2934853,Jamaica,Jamaica,Jamaica
142,JPN,39727.1166,1116150.024,8.801681435,126811000,Japan,Japan,Japan
143,JOR,4308.151074,24780.00069,2.486623181,9965322,Jordan,Jordan,Jordan
144,KAZ,9812.626371,216600.0061,11.8513159,18276452,Kazakhstan,Kazakhstan,Kazakhstan
145,KEN,1794.091175,17489.99977,0.340321563,51392570,Kenya,Kenya,Kenya
146,KIR,1693.950155,90.00000358,0.776920319,115842,Kiribati,Kiribati,Kiribati
147,PRK,,50529.99878,1.977721253,25549606,"Korea, Dem. People's Rep.","Korea, Dem. People's Rep.",South Korea
148,KOR,33436.92306,630640.0146,12.22524582,51585058,"Korea, Rep.","Korea, Rep.",North Korea
149,XKX,4384.048892,,,1797085,Kosovo,Kosovo,Kosovo
150,KWT,33399.06048,91389.99939,22.08921039,4137314,Kuwait,Kuwait,Kuwait
151,KGZ,1308.140165,11250,1.779275005,6322800,Kyrgyz Republic,Kyrgyz Republic,Kyrgyzstan
152,LAO,2569.093892,19360.00061,2.741627996,7061498,Lao PDR,Lao PDR,Laos
153,LVA,17865.03109,7789.999962,4.042188179,1927174,Latvia,Latvia,Latvia
154,LBN,8003.827612,27790.00092,4.051370164,6859408,Lebanon,Lebanon,Lebanon
155,LSO,1192.48432,730.0000191,0.346246108,2108327,Lesotho,Lesotho,Lesotho
156,LBR,710.2659984,1129.999995,0.23448965,4818976,Liberia,Liberia,Liberia
157,LBY,11482.13364,56619.99893,8.477868963,6678565,Libya,Libya,Libya
158,LIE,176499.4026,140.0000006,3.692177873,37918,Liechtenstein,Liechtenstein,Liechtenstein
159,LTU,19186.18128,11649.99962,4.158422562,2801543,Lithuania,Lithuania,Lithuania
160,LUX,117254.7404,9319.999695,15.33020757,607950,Luxembourg,Luxembourg,Luxembourg
161,MAC,87526.07999,,,631633,"Macao SAR, China","Macao SAR, China",Macao
162,MDG,518.401123,3349.999905,0.12755921,26262313,Madagascar,Madagascar,Madagascar
163,MWI,544.5934593,1379.999995,0.076061492,18143215,Malawi,Malawi,Malawi
164,MYS,11380.07922,244410.0037,7.752148815,31528033,Malaysia,Malaysia,Malaysia
165,MDV,10279.07998,2099.999905,4.072103192,515704,Maldives,Maldives,Maldives
